Identifiant,Titre,Prix nuitee,Commune,Departement,Type de propriete,Id. type de logement,Type de logement,Capacite d'accueil,Nombre de salles de bain,Nombre de chambres,Nombre de lits,Type de lit,Cuisine,Internet,Television,Produits de base,Shampooing,Chauffage,Climatisation,Machine a laver,Seche-linge,Parking gratuit sur place,Internet sans fil,Television par cable,Petit dejeuner,Animaux acceptes,Pour familles/enfants,Adapte aux evenements,Logement fumeur,Acces handicapes,Ascenseur,Cheminee d'interieur,Interphone,Portier,Piscine,Jacuzzi,Salle de sport,Entree dans les lieux 24h/24,Cintres,Fer a repasser,Seche-cheveux,Espace de travail pour ordinateur,Detecteur de fumee,Detecteur de monoxyde,Kit de premiers secours,Fiche securite,Extincteur,Cafetiere,Cles remises par l'hote,Couloir large,Cuisiniere,Depot des bagages autorise,Draps,Eau chaude,Entree large,Entree privee,Equipements de baes,Four,Lave-vaisselle,Lit-parapluie,Livres et jouets pour enfants,Oreillers et couvertures supplementaires,Refrigerateur,Sejour longue duree autorise,Ustensiles de cuisine de base,Duree minimale du sejour,Animal sur place,Conditions d'annulation,Disponible,id,prefixe,code,created,updated
"13723608",A 1,50,AIX EN PROVENCE,13,Appartement,3,Logement entier,3,1,1,0,,X,,,X,,X,,X,,X,X,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,"0",13001000DH,"000",DH,1999/12/16,2018/12/06
"13724846",Chambre 10 min a pieds centre ville,46,AIX EN PROVENCE,13,Appartement,2,Chambre privee,2,1,1,0,Vrai lit,X,,X,,,X,,X,,,X,,,,,,,,,,X,,,,,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,1,,,"0",13001000CD,"000",CD,1999/12/13,2018/12/06
"13729864",Charmant studio calme et cosy,29,AIX EN PROVENCE,13,Appartement,3,Logement entier,2,1,1,0,Vrai lit,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"0",13001000AE,"000",AE,1999/12/01,2018/12/06
"13737378",Villa situee au 4 km du centre,300,AIX EN PROVENCE,13,Maison,3,Logement entier,8,1,2,0,,X,X,X,X,,X,X,X,,X,X,,X,X,X,X,,,X,X,,,X,,X,X,X,X,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,1,,,"0",13001000MD,"000",MD,2000/02/09,2018/12/06
"13745102",Studio centre ville Aix en Provence,70,AIX EN PROVENCE,13,Appartement,3,Logement entier,2,1,0,0,Canape convertible,X,,,X,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,"0",13001000AM,"000",AM,1999/12/01,2018/12/06
"13748870",hotel particulier historique,140,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,1,1,0,Canape convertible,,,X,X,,X,,X,,,X,,,,X,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,"0",13001000AI,"000",AI,1999/12/01,2018/12/06
"13749849",Grand Studio en residence ! Balcon + Parking prive,52,AIX EN PROVENCE,13,Appartement en residence,3,Logement entier,3,1,1,0,,X,X,,X,,X,,X,,X,X,,,,,,,,,,X,,,,,X,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,1,,,"0",13001000CA,"000",CA,1999/12/13,2018/12/06
"13762408",Le Saint Jean de Malte - entierement climatise,115,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,1,2,0,,X,X,X,X,,X,X,X,,,X,,X,,X,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,3,,,"0",13001000AH,"000",AH,1999/12/01,2018/12/06
"13762962",Bel appartement,49,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,15,1,0,,X,X,X,X,,X,,,,,X,,,X,X,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,1,,,"0",13001000AE,"000",AE,1999/12/01,2018/12/06
"13766275",maison a la campagne calme tout proche d aix,115,AIX EN PROVENCE,13,Maison,3,Logement entier,4,2,2,0,,X,,X,X,,X,,X,X,X,,,,X,X,,,,,X,,,X,,,,X,X,X,,X,,,,X,,,,,,,,,,,,,,,,,,,7,,,"0",13001000EA,"000",EA,1999/12/17,2018/12/06
